S   UID     PID    PPID  C PRI  NI   RSS    SZ WCHAN  TTY          TIME CMD
S     0       1       0  0  80   0 12980 42321 -      ?        00:00:08 systemd
S     0       2       0  0  80   0     0     0 -      ?        00:00:00 kthreadd
I     0       3       2  0  60 -20     0     0 -      ?        00:00:00 rcu_gp
I     0       4       2  0  60 -20     0     0 -      ?        00:00:00 rcu_par_gp
I     0       6       2  0  60 -20     0     0 -      ?        00:00:00 kworker/0:0H-events_highpri
I     0       9       2  0  60 -20     0     0 -      ?        00:00:00 mm_percpu_wq
S     0      10       2  0  80   0     0     0 -      ?        00:00:00 rcu_tasks_rude_
S     0      11       2  0  80   0     0     0 -      ?        00:00:00 rcu_tasks_trace
S     0      12       2  0  80   0     0     0 -      ?        00:00:00 ksoftirqd/0
I     0      13       2  0  80   0     0     0 -      ?        00:00:05 rcu_sched
S     0      14       2  0 -40   -     0     0 -      ?        00:00:00 migration/0
S     0      15       2  0   9   -     0     0 -      ?        00:00:00 idle_inject/0
S     0      16       2  0  80   0     0     0 -      ?        00:00:00 cpuhp/0
S     0      17       2  0  80   0     0     0 -      ?        00:00:00 cpuhp/1
S     0      18       2  0   9   -     0     0 -      ?        00:00:00 idle_inject/1
S     0      19       2  0 -40   -     0     0 -      ?        00:00:00 migration/1
S     0      20       2  0  80   0     0     0 -      ?        00:00:00 ksoftirqd/1
I     0      22       2  0  60 -20     0     0 -      ?        00:00:00 kworker/1:0H-kblockd
S     0      23       2  0  80   0     0     0 -      ?        00:00:00 cpuhp/2
S     0      24       2  0   9   -     0     0 -      ?        00:00:00 idle_inject/2
S     0      25       2  0 -40   -     0     0 -      ?        00:00:00 migration/2
S     0      26       2  0  80   0     0     0 -      ?        00:00:00 ksoftirqd/2
I     0      28       2  0  60 -20     0     0 -      ?        00:00:00 kworker/2:0H-events_highpri
S     0      29       2  0  80   0     0     0 -      ?        00:00:00 cpuhp/3
S     0      30       2  0   9   -     0     0 -      ?        00:00:00 idle_inject/3
S     0      31       2  0 -40   -     0     0 -      ?        00:00:00 migration/3
S     0      32       2  0  80   0     0     0 -      ?        00:00:00 ksoftirqd/3
I     0      34       2  0  60 -20     0     0 -      ?        00:00:00 kworker/3:0H-kblockd
S     0      35       2  0  80   0     0     0 -      ?        00:00:00 cpuhp/4
S     0      36       2  0   9   -     0     0 -      ?        00:00:00 idle_inject/4
S     0      37       2  0 -40   -     0     0 -      ?        00:00:00 migration/4
S     0      38       2  0  80   0     0     0 -      ?        00:00:00 ksoftirqd/4
I     0      40       2  0  60 -20     0     0 -      ?        00:00:00 kworker/4:0H-events_highpri
S     0      41       2  0  80   0     0     0 -      ?        00:00:00 cpuhp/5
S     0      42       2  0   9   -     0     0 -      ?        00:00:00 idle_inject/5
S     0      43       2  0 -40   -     0     0 -      ?        00:00:00 migration/5
S     0      44       2  0  80   0     0     0 -      ?        00:00:00 ksoftirqd/5
I     0      46       2  0  60 -20     0     0 -      ?        00:00:00 kworker/5:0H-kblockd
S     0      47       2  0  80   0     0     0 -      ?        00:00:00 kdevtmpfs
I     0      48       2  0  60 -20     0     0 -      ?        00:00:00 netns
I     0      49       2  0  60 -20     0     0 -      ?        00:00:00 inet_frag_wq
S     0      50       2  0  80   0     0     0 -      ?        00:00:00 kauditd
S     0      51       2  0  80   0     0     0 -      ?        00:00:00 khungtaskd
S     0      52       2  0  80   0     0     0 -      ?        00:00:00 oom_reaper
I     0      53       2  0  60 -20     0     0 -      ?        00:00:00 writeback
S     0      54       2  0  80   0     0     0 -      ?        00:00:01 kcompactd0
S     0      55       2  0  85   5     0     0 -      ?        00:00:00 ksmd
S     0      56       2  0  99  19     0     0 -      ?        00:00:00 khugepaged
I     0     103       2  0  60 -20     0     0 -      ?        00:00:00 kintegrityd
I     0     104       2  0  60 -20     0     0 -      ?        00:00:00 kblockd
I     0     105       2  0  60 -20     0     0 -      ?        00:00:00 blkcg_punt_bio
I     0     106       2  0  60 -20     0     0 -      ?        00:00:00 tpm_dev_wq
I     0     107       2  0  60 -20     0     0 -      ?        00:00:00 ata_sff
I     0     108       2  0  60 -20     0     0 -      ?        00:00:00 md
I     0     109       2  0  60 -20     0     0 -      ?        00:00:00 edac-poller
I     0     110       2  0  60 -20     0     0 -      ?        00:00:00 devfreq_wq
S     0     111       2  0   9   -     0     0 -      ?        00:00:00 watchdogd
I     0     114       2  0  60 -20     0     0 -      ?        00:00:00 kworker/0:1H-kblockd
S     0     116       2  0  80   0     0     0 -      ?        00:00:04 kswapd0
S     0     117       2  0  80   0     0     0 -      ?        00:00:00 ecryptfs-kthrea
I     0     119       2  0  60 -20     0     0 -      ?        00:00:00 kthrotld
I     0     120       2  0  60 -20     0     0 -      ?        00:00:00 acpi_thermal_pm
S     0     121       2  0  80   0     0     0 -      ?        00:00:00 scsi_eh_0
I     0     122       2  0  60 -20     0     0 -      ?        00:00:00 scsi_tmf_0
