Linux 5.11.0-40-generic (pranav) 	13/01/22 	_x86_64_	(6 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           4.89    1.07    1.09    0.14    0.00   92.82

Device             tps    kB_read/s    kB_wrtn/s    kB_dscd/s    kB_read    kB_wrtn    kB_dscd
loop0             0.00         0.00         0.00         0.00         17          0          0
loop1             0.00         0.04         0.00         0.00       1073          0          0
loop10            0.04         0.14         0.00         0.00       4185          0          0
loop11            0.03         0.42         0.00         0.00      12619          0          0
loop12            0.04         1.44         0.00         0.00      43225          0          0
loop13            0.00         0.01         0.00         0.00        347          0          0
loop14            0.01         0.02         0.00         0.00        546          0          0
loop15            0.00         0.04         0.00         0.00       1095          0          0
loop16            0.00         0.01         0.00         0.00        374          0          0
loop2             0.00         0.01         0.00         0.00        359          0          0
loop3             0.00         0.04         0.00         0.00       1075          0          0
loop4             0.00         0.01         0.00         0.00        359          0          0
loop5             0.02         0.23         0.00         0.00       6887          0          0
loop6             0.00         0.04         0.00         0.00       1122          0          0
loop7             0.00         0.04         0.00         0.00       1056          0          0
loop8             0.04         0.50         0.00         0.00      15003          0          0
loop9             0.00         0.04         0.00         0.00       1073          0          0
sda              21.81       732.50      1057.94         0.00   22023990   31808797          0
scd0              0.00         0.00         0.00         0.00          2          0          0


